id,policyNo,policyType,policyStartDate,policyEndDate,tableName,membershipTypeId,membershipTypeName
132324,null,Warranty,2020-04-14,2024-04-13,memerbership,null,null
132336,null,Warranty,2020-07-02,2024-07-01,memerbership,null,null
132394,null,Warranty,2020-04-27,2024-04-26,memerbership,null,null
132396,null,Warranty,2020-04-14,2024-04-13,memerbership,null,null
132397,null,Warranty,2020-04-27,2024-04-26,memerbership,null,null
132404,null,Warranty,2020-05-27,2024-05-26,memerbership,null,null
132408,null,Warranty,2020-06-08,2024-06-07,memerbership,null,null
132411,null,Warranty,2020-05-30,2024-05-29,memerbership,null,null
132418,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
132520,null,Warranty,2020-04-29,2024-04-28,memerbership,null,null
132687,null,Warranty,2020-06-23,2024-06-22,memerbership,null,null
133129,RSA62089,RSA Retail,2022-03-27,2025-03-26,memerbership,null,null
133280,RSA35455,RSA Retail,2022-04-21,2025-04-20,memerbership,null,null
133349,RSA26983,RSA Retail,2022-07-03,2024-07-02,memerbership,null,null
133447,RSA43174,RSA Retail,2022-06-21,2024-06-20,memerbership,null,null
133467,RSA43742,RSA Retail,2023-07-16,2025-07-15,memerbership,null,null
133484,RSA53287,RSA Retail,2022-08-17,2025-08-16,memerbership,null,null
133494,RSA51627,RSA Retail,2022-07-17,2024-07-16,memerbership,null,null
133546,RSA62059,RSA Retail,2022-08-25,2025-08-24,memerbership,null,null
133599,RSA54702,RSA Retail,2023-09-14,2024-09-13,memerbership,null,null
134625,RSA74865,RSA Retail,2021-07-09,2024-07-08,memerbership,null,null
134968,RSA74945,RSA Retail,2021-07-11,2024-07-10,memerbership,null,null
135047,RSA39226,RSA Retail,2024-03-27,2025-03-26,memerbership,null,null
135210,RSA50955,RSA Retail,2023-04-11,2024-04-10,memerbership,null,null
135399,RSA76060,RSA Retail,2021-08-09,2024-08-08,memerbership,null,null
135512,RSA76518,RSA Retail,2021-08-19,2024-08-18,memerbership,null,null
135601,RSA43464,RSA Retail,2023-05-22,2024-05-21,memerbership,null,null
135639,RSA64697,RSA Retail,2023-04-09,2024-04-08,memerbership,null,null
135908,RSA57956,RSA Retail,2023-05-29,2024-05-28,memerbership,null,null
136065,RSA48825,RSA Retail,2023-05-31,2024-05-30,memerbership,null,null
136200,RSA56041,RSA Retail,2023-09-08,2024-09-07,memerbership,null,null
136279,RSA45688,RSA Retail,2023-07-01,2024-06-30,memerbership,null,null
136574,RSA49980,RSA Retail,2023-08-01,2024-07-31,memerbership,null,null
136723,RSA64136,RSA Retail,2023-10-06,2024-10-05,memerbership,null,null
136748,RSA68237,RSA Retail,2020-12-28,2025-12-27,memerbership,null,null
136803,RSA64773,RSA Retail,2023-08-30,2026-08-29,memerbership,null,null
136958,RSA53847,RSA Retail,2023-09-27,2024-09-26,memerbership,null,null
137017,RSA63142,RSA Retail,2023-10-20,2024-10-19,memerbership,null,null
137166,RSA75674,RSA Retail,2023-10-30,2024-10-29,memerbership,null,null
137476,RSA77921,RSA Retail,2018-06-12,2024-09-26,memerbership,null,null
137709,RSA51522,RSA Retail,2023-11-06,2026-11-05,memerbership,null,null
138392,,Warranty,2020-05-26,2024-05-25,memerbership,null,null
138822,RSA52955,RSA Retail,2023-10-25,2024-10-24,memerbership,null,null
138849,,Warranty,2020-04-30,2024-04-29,memerbership,null,null
138904,RSA20137,RSA Retail,2021-04-20,2024-04-19,memerbership,null,null
138965,,Warranty,2020-05-22,2024-05-21,memerbership,null,null
138994,RSA65326,RSA Retail,2023-10-31,2026-10-30,memerbership,null,null
139249,,Warranty,2020-04-29,2024-04-28,memerbership,null,null
139683,RSA75759,RSA Retail,2023-11-21,2025-11-20,memerbership,null,null
139796,,Warranty,2020-04-24,2024-04-23,memerbership,null,null
140453,RSA54586,RSA Retail,2021-12-22,2024-12-21,memerbership,null,null
140590,RSA75421,RSA Retail,2021-07-24,2024-07-23,memerbership,null,null
140742,RSA26740,RSA Retail,2021-04-18,2024-04-17,memerbership,null,null
140818,RSA75107,RSA Retail,2021-11-28,2024-11-27,memerbership,null,null
140850,,Warranty,2020-05-01,2024-04-30,memerbership,null,null
140859,RSA68398,RSA Retail,2023-11-26,2024-11-25,memerbership,null,null
140898,null,Warranty,2020-06-02,2024-06-01,memerbership,null,null
141426,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
141875,null,Warranty,2020-06-01,2024-05-31,memerbership,null,null
142007,null,Warranty,2020-05-18,2024-05-17,memerbership,null,null
142206,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
142286,RSA70551,RSA Retail,2021-07-08,2024-07-07,memerbership,null,null
142537,,Warranty,2020-04-09,2024-04-08,memerbership,null,null
142545,,Warranty,2020-05-31,2024-05-30,memerbership,null,null
142612,RSA72168,RSA Retail,2022-02-19,2025-02-18,memerbership,null,null
142698,,Warranty,2020-05-21,2024-05-20,memerbership,null,null
142831,,Warranty,2020-04-23,2024-04-22,memerbership,null,null
142868,RSA69409,RSA Retail,2022-01-28,2025-01-27,memerbership,null,null
142944,null,Warranty,2020-05-20,2024-05-19,memerbership,null,null
142975,null,Warranty,2020-06-17,2024-06-16,memerbership,null,null
142976,null,Warranty,2020-06-01,2024-05-31,memerbership,null,null
142995,null,Warranty,2020-06-04,2024-06-03,memerbership,null,null
143069,null,Warranty,2020-06-23,2024-06-22,memerbership,null,null
143070,null,Warranty,2020-05-20,2024-05-19,memerbership,null,null
143318,null,Warranty,2020-06-11,2024-06-10,memerbership,null,null
143758,null,Warranty,2020-05-29,2024-05-28,memerbership,null,null
143820,,Warranty,2020-06-18,2024-06-17,memerbership,null,null
143980,RSA73921,RSA Retail,2021-05-05,2024-05-04,memerbership,null,null
144017,,Warranty,2020-05-25,2024-05-24,memerbership,null,null
144062,RSA12579,RSA Retail,2021-08-29,2024-08-28,memerbership,null,null
144123,null,Warranty,2020-04-09,2024-04-08,memerbership,null,null
144154,null,Warranty,2020-06-09,2024-06-08,memerbership,null,null
144159,null,Warranty,2020-06-18,2024-06-17,memerbership,null,null
144176,null,Warranty,2020-05-27,2024-05-26,memerbership,null,null
144192,null,Warranty,2020-06-29,2024-06-28,memerbership,null,null
144218,null,Warranty,2020-05-11,2024-05-10,memerbership,null,null
144254,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
144263,null,Warranty,2020-04-27,2024-04-26,memerbership,null,null
144271,,Warranty,2020-05-22,2024-05-21,memerbership,null,null
144511,RSA64933,RSA Retail,2021-05-27,2024-05-26,memerbership,null,null
144515,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
144516,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
144537,null,Warranty,2020-06-03,2024-06-02,memerbership,null,null
144603,null,Warranty,2020-06-01,2024-05-31,memerbership,null,null
144782,null,Warranty,2020-06-29,2024-06-28,memerbership,null,null
144831,null,Warranty,2020-05-30,2024-05-29,memerbership,null,null
144832,null,Warranty,2020-05-30,2024-05-29,memerbership,null,null
144857,null,Warranty,2020-06-30,2024-06-29,memerbership,null,null
144890,RSA73659,RSA Retail,2019-07-27,2024-04-20,memerbership,null,null
144942,,Warranty,2020-05-05,2024-05-04,memerbership,null,null
145027,,Warranty,2020-05-23,2024-05-22,memerbership,null,null
145099,RSA62629,RSA Retail,2021-08-12,2024-08-11,memerbership,null,null
145308,null,Warranty,2020-06-10,2024-06-09,memerbership,null,null
145336,null,Warranty,2020-06-18,2024-06-17,memerbership,null,null
145347,null,Warranty,2020-06-25,2024-06-24,memerbership,null,null
145485,null,Warranty,2020-05-30,2024-05-29,memerbership,null,null
145535,null,Warranty,2020-05-20,2024-05-19,memerbership,null,null
145621,null,Warranty,2020-06-30,2024-06-29,memerbership,null,null
145651,RSA68475,RSA Retail,2021-09-12,2024-09-11,memerbership,null,null
145806,null,Warranty,2020-05-29,2024-05-28,memerbership,null,null
145938,null,Warranty,2020-05-30,2024-05-29,memerbership,null,null
145941,null,Warranty,2020-05-07,2024-05-06,memerbership,null,null
146094,null,Warranty,2020-05-26,2024-05-25,memerbership,null,null
146133,null,Warranty,2020-06-08,2024-06-07,memerbership,null,null
146156,null,Warranty,2020-04-23,2024-04-22,memerbership,null,null
146176,RSA68580,RSA Retail,2021-01-01,2024-12-31,memerbership,null,null
146385,,Warranty,2020-06-20,2024-06-19,memerbership,null,null
146424,,Warranty,2020-05-22,2024-05-21,memerbership,null,null
146585,,Warranty,2020-05-29,2024-05-28,memerbership,null,null
146599,,Warranty,2020-05-25,2024-05-24,memerbership,null,null
146613,RSA49981,RSA Retail,2021-10-25,2024-10-24,memerbership,null,null
146831,,Warranty,2020-05-20,2024-05-19,memerbership,null,null
147237,,Warranty,2020-05-23,2024-05-22,memerbership,null,null
147489,RSA21566,RSA Retail,2021-09-28,2024-09-27,memerbership,null,null
147658,RSA69808,RSA Retail,2020-03-20,2025-03-19,memerbership,null,null
147723,RSA16029,RSA Retail,2021-12-07,2024-12-06,memerbership,null,null
147728,RSA75914,RSA Retail,2021-08-05,2024-08-04,memerbership,null,null
147851,RSA57157,RSA Retail,2023-04-04,2026-04-03,memerbership,null,null
148192,RSA65510,RSA Retail,2022-05-16,2024-05-15,memerbership,null,null
148351,RSA69183,RSA Retail,2023-01-04,2025-01-03,memerbership,null,null
148365,RSA76769,RSA Retail,2021-08-27,2024-08-26,memerbership,null,null
148395,RSA22189,RSA Retail,2022-01-06,2025-01-05,memerbership,null,null
148642,RSA68056,RSA Retail,2022-01-30,2025-01-29,memerbership,null,null
148822,RSA49912,RSA Retail,2022-04-11,2024-04-10,memerbership,null,null
149077,RSA42086,RSA Retail,2023-06-05,2025-06-04,memerbership,null,null
149334,RSA30155,RSA Retail,2022-05-31,2024-05-30,memerbership,null,null
149585,RSA45566,RSA Retail,2022-07-01,2025-06-30,memerbership,null,null
149587,RSA58321,RSA Retail,2022-05-05,2025-05-04,memerbership,null,null
149969,RSA31233,RSA Retail,2022-06-08,2024-06-07,memerbership,null,null
150181,RSA77109,RSA Retail,2021-09-04,2024-09-03,memerbership,null,null
150328,RSA62772,RSA Retail,2022-07-30,2025-07-29,memerbership,null,null
150363,RSA35095,RSA Retail,2023-07-19,2024-07-18,memerbership,null,null
150459,,RSA Retail,2022-08-07,2025-08-06,memerbership,null,null
150632,RSA64636,RSA Retail,2022-10-25,2024-10-24,memerbership,null,null
150839,RSA68369,RSA Retail,2022-12-21,2024-12-20,memerbership,null,null
151104,RSA55796,RSA Retail,2023-10-16,2025-10-15,memerbership,null,null
151249,RSA65962,RSA Retail,2023-11-14,2026-11-13,memerbership,null,null
151268,RSA41276,RSA Retail,2022-11-28,2025-11-27,memerbership,null,null
151603,RSA39519,RSA Retail,2023-01-08,2026-01-07,memerbership,null,null
151911,RSA40262,RSA Retail,2023-12-01,2024-11-30,memerbership,null,null
152150,RSA68645,RSA Retail,2024-01-25,2025-01-24,memerbership,null,null
152191,RSA36433,RSA Retail,2023-02-12,2025-02-11,memerbership,null,null
152228,RSA47624,RSA Retail,2024-01-05,2025-01-04,memerbership,null,null
152276,RSA39584,RSA Retail,2024-01-23,2025-01-22,memerbership,null,null
152548,RSA63735,RSA Retail,2023-03-11,2025-03-10,memerbership,null,null
152552,RSA35854,RSA Retail,2023-01-31,2025-01-30,memerbership,null,null
174976,RSA56821,RSA Retail,2023-05-15,2024-05-14,memerbership,null,null
175243,RSA44821,RSA Retail,2023-06-01,2024-05-31,memerbership,null,null
175445,RSA57269,RSA Retail,2023-05-31,2025-05-30,memerbership,null,null
176443,RSA52158,RSA Retail,2023-11-15,2026-11-14,memerbership,null,null
179818,RSA36193,RSA Retail,2022-01-13,2025-01-12,memerbership,null,null
180658,RSA47614,RSA Retail,2023-11-11,2024-11-10,memerbership,null,null
181288,RSA58769,RSA Retail,2023-04-23,2025-04-22,memerbership,null,null
181522,RSA49820,RSA Retail,2023-06-22,2024-06-21,memerbership,null,null
181927,RSA58794,RSA Retail,2023-11-29,2024-11-28,memerbership,null,null
182299,RSA58802,RSA Retail,2023-11-25,2024-11-24,memerbership,null,null
182585,,Warranty,2020-04-27,2024-04-26,memerbership,null,null
182606,,Warranty,2020-05-21,2024-05-20,memerbership,null,null
182631,,Warranty,2020-06-04,2024-06-03,memerbership,null,null
182727,RSA58805,RSA Retail,2023-11-30,2024-11-29,memerbership,null,null
182743,,Warranty,2020-05-06,2024-05-05,memerbership,null,null
182950,,Warranty,2020-05-22,2024-05-21,memerbership,null,null
182968,RSA45361,RSA Retail,2021-07-24,2024-07-23,memerbership,null,null
182993,null,Warranty,2020-06-17,2024-06-16,memerbership,null,null
183023,null,Warranty,2020-04-27,2024-04-26,memerbership,null,null
183073,null,Warranty,2020-05-28,2024-05-27,memerbership,null,null
183082,null,Warranty,2020-06-13,2024-06-12,memerbership,null,null
183120,null,Warranty,2020-05-16,2024-05-15,memerbership,null,null
183138,null,Warranty,2020-05-11,2024-05-10,memerbership,null,null
183143,null,Warranty,2020-06-10,2024-06-09,memerbership,null,null
183299,null,Warranty,2020-06-23,2024-06-22,memerbership,null,null
183304,null,Warranty,2020-05-27,2024-05-26,memerbership,null,null
183320,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
183443,null,Warranty,2020-06-16,2024-06-15,memerbership,null,null
183454,null,Warranty,2020-04-23,2024-04-22,memerbership,null,null
183543,null,Warranty,2020-06-24,2024-06-23,memerbership,null,null
183587,null,Warranty,2020-05-18,2024-05-17,memerbership,null,null
183608,null,Warranty,2020-06-11,2024-06-10,memerbership,null,null
183614,null,Warranty,2020-05-26,2024-05-25,memerbership,null,null
183787,null,Warranty,2020-04-22,2024-04-21,memerbership,null,null
183800,null,Warranty,2020-04-29,2024-04-28,memerbership,null,null
184044,null,Warranty,2020-04-24,2024-04-23,memerbership,null,null
184045,null,Warranty,2020-04-24,2024-04-23,memerbership,null,null
184125,null,Warranty,2020-06-09,2024-06-08,memerbership,null,null
184152,null,Warranty,2020-05-23,2024-05-22,memerbership,null,null
184247,null,Warranty,2020-06-06,2024-06-05,memerbership,null,null
184489,RSA45018,RSA Retail,2022-07-29,2025-07-28,memerbership,null,null
184532,RSA54715,RSA Retail,2022-04-28,2024-04-27,memerbership,null,null
185033,RSA39397,RSA Retail,2023-04-21,2024-04-20,memerbership,null,null
185186,RSA52113,RSA Retail,2022-06-08,2024-06-07,memerbership,null,null
185289,RSA58323,RSA Retail,2023-08-20,2024-08-19,memerbership,null,null
185308,RSA37652,RSA Retail,2023-09-13,2024-09-12,memerbership,null,null
185528,RSA49697,RSA Retail,2022-12-31,2024-12-30,memerbership,null,null
185583,RSA46277,RSA Retail,2023-06-25,2024-06-24,memerbership,null,null
186107,RSA50911,RSA Retail,2023-05-08,2024-05-07,memerbership,null,null
186382,RSA62326,RSA Retail,2023-07-13,2024-07-12,memerbership,null,null
187909,RSA53121,RSA Retail,2022-06-21,2025-06-20,memerbership,null,null
188048,null,Warranty,2020-07-02,2024-07-01,memerbership,null,null
188189,null,Warranty,2020-05-12,2024-05-11,memerbership,null,null
188244,null,Warranty,2020-06-18,2024-06-17,memerbership,null,null
188307,null,Warranty,2020-07-09,2024-07-08,memerbership,null,null
188330,null,Warranty,2020-05-25,2024-05-24,memerbership,null,null
188365,null,Warranty,2020-06-29,2024-06-28,memerbership,null,null
188436,null,Warranty,2020-06-29,2024-06-28,memerbership,null,null
188441,null,Warranty,2020-06-04,2024-06-03,memerbership,null,null
188610,null,Warranty,2020-04-23,2024-04-22,memerbership,null,null
188642,null,Warranty,2020-06-19,2024-06-18,memerbership,null,null
188794,RSA42044,RSA Retail,2021-05-26,2024-05-25,memerbership,null,null
189023,null,Warranty,2020-06-10,2024-06-09,memerbership,null,null
189415,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
189534,null,Warranty,2020-06-04,2024-06-03,memerbership,null,null
189568,null,Warranty,2020-06-10,2024-06-09,memerbership,null,null
189673,null,Warranty,2020-06-30,2024-06-29,memerbership,null,null
189778,null,Warranty,2020-05-14,2024-05-13,memerbership,null,null
190054,null,Warranty,2020-05-22,2024-05-21,memerbership,null,null
190145,null,Warranty,2020-07-02,2024-07-01,memerbership,null,null
190621,null,Warranty,2020-06-12,2024-06-11,memerbership,null,null
190672,null,Warranty,2020-07-02,2024-07-01,memerbership,null,null
190991,null,Warranty,2020-05-27,2024-05-26,memerbership,null,null
191007,null,Warranty,2020-05-21,2024-05-20,memerbership,null,null
191009,null,Warranty,2020-05-21,2024-05-20,memerbership,null,null
191387,RSA58928,RSA Retail,2021-05-12,2024-05-11,memerbership,null,null
191728,RSA42257,RSA Retail,2022-04-03,2025-04-02,memerbership,null,null
191825,RSA58165,RSA Retail,2022-04-22,2025-04-21,memerbership,null,null
192040,RSA51885,RSA Retail,2022-08-17,2025-08-16,memerbership,null,null
192198,RSA47256,RSA Retail,2023-08-10,2024-08-09,memerbership,null,null
192290,RSA54307,RSA Retail,2022-10-24,2025-10-23,memerbership,null,null
192307,RSA49385,RSA Retail,2023-11-29,2024-11-28,memerbership,null,null
194350,RSA51804,RSA Retail,2023-05-18,2024-05-17,memerbership,null,null
194814,RSA26199,RSA Retail,2021-08-31,2024-08-30,memerbership,null,null
195085,null,Warranty,2020-05-22,2024-05-21,memerbership,null,null
195415,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
195501,null,Warranty,2020-06-10,2024-06-09,memerbership,null,null
195504,null,Warranty,2020-07-22,2024-07-21,memerbership,null,null
195556,null,Warranty,2020-06-29,2024-06-28,memerbership,null,null
195565,null,Warranty,2020-05-07,2024-05-06,memerbership,null,null
195613,null,Warranty,2020-05-22,2024-05-21,memerbership,null,null
195703,null,Warranty,2020-06-01,2024-05-31,memerbership,null,null
195707,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
